"Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases","Date created","Date last edited",Objective,Bid,"Bid type","Reporting starts","Reporting ends",Starts
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,11,1.181818,,5,Daily,0.06,מתמשך,13,4.615385,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",,,1263,1.054632,,5,Daily,38.32,מתמשך,1332,28.768769,45,0.851556,3.378378,60,4.504505,0.638667,35,7,7,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD06_IMG_T4_Yellow,inactive,"7-day click or 1-day view",,,125,1.176,,5,Daily,1.43,מתמשך,147,9.727891,2,0.715,1.360544,2,1.360544,0.715,1,1,1,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",,,1309,1.061115,,5,Daily,41.37,מתמשך,1389,29.784017,43,0.962093,3.095752,55,3.959683,0.752182,37,19,19,1,1,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,21,1.190476,,5,Daily,0.09,מתמשך,25,3.6,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,13,1.076923,,5,Daily,0.13,מתמשך,14,9.285714,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD06_IMG_T4_Yellow,inactive,"7-day click or 1-day view",,,60,1.133333,,5,Daily,0.67,מתמשך,68,9.852941,1,0.67,1.470588,1,1.470588,0.67,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",,,1044,1.041188,,5,Daily,34.03,מתמשך,1087,31.306348,38,0.895526,3.49586,57,5.24379,0.597018,29,25,25,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD04_IMG_T2_Yellow,inactive,"7-day click or 1-day view",,,269,1.130112,,5,Daily,5.56,מתמשך,304,18.289474,6,0.926667,1.973684,7,2.302632,0.794286,5,1,1,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD07_Video_T4,inactive,"7-day click or 1-day view",,,105,1.095238,,5,Daily,2.53,מתמשך,115,22,3,0.843333,2.608696,4,3.478261,0.6325,2,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD09_Video_T4,inactive,"7-day click or 1-day view",,,1134,1.051146,,5,Daily,36.46,מתמשך,1192,30.587248,46,0.792609,3.85906,66,5.536913,0.552424,34,16,16,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD01_IMG_T2_Black,inactive,"7-day click or 1-day view",,,73,1.054795,,5,Daily,1.33,מתמשך,77,17.272727,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD06_IMG_T4_Yellow,inactive,"7-day click or 1-day view",,,47,1.212766,,5,Daily,0.44,מתמשך,57,7.719298,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD07_Video_T4,inactive,"7-day click or 1-day view",,,82,1.012195,,5,Daily,1.93,מתמשך,83,23.253012,1,1.93,1.204819,1,1.204819,1.93,1,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,7,1,,5,Daily,0.06,מתמשך,7,8.571429,,,,0,0,0,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
AD05_IMG_T1_Yellow,inactive,"7-day click or 1-day view",,,7,1.285714,,5,Daily,0.12,מתמשך,9,13.333333,,,,1,11.111111,0.12,,,,,,,,,,,,2022-02-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2022-02-05
