,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Content views,Website content views,Checkouts Initiated,Website checkouts initiated,Adds of payment info,Website adds of payment info,Purchase ROAS (return on ad spend),Website purchase ROAS (return on ad spend),Purchases,Website purchases,Date created,Date last edited,Objective,Bid,Bid type,Reporting starts,Reporting ends,Starts
111980,AD06_IMG_T4_Yellow,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1516,1.297493,18.93,20,Daily,37.86,מתמשך,1967,19.247585,29.0,1.305517,1.474326,36,1.830198,1.051667,30.0,13.0,13.0,2.0,2.0,,,,,2.0,2.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
111981,AD07_Video_T4,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,3077,1.245369,70.09,20,Daily,140.18,מתמשך,3832,36.58142,114.0,1.229649,2.974948,179,4.67119,0.783128,98.0,60.0,60.0,4.0,4.0,4.0,4.0,0.784705,0.784705,2.0,2.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
111986,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,493,1.117647,24.41,20,Daily,24.41,מתמשך,551,44.30127,14.0,1.743571,2.540835,16,2.903811,1.525625,10.0,6.0,6.0,2.0,2.0,1.0,1.0,2.027857,2.027857,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
112047,AD01,inactive,7-day click,1.0,actions:offsite_conversion.fb_pixel_purchase,100,5.65,42.42,Using campaign budget,0,42.42,מתמשך,565,75.079646,25.0,1.6968,4.424779,41,7.256637,1.034634,22.0,32.0,32.0,1.0,1.0,1.0,1.0,1.296558,1.296558,1.0,1.0,2022-01-10,2024-10-06,Catalog Sales,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-10
112050,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1069,1.100094,65.74,20,Daily,65.74,מתמשך,1176,55.901361,32.0,2.054375,2.721088,42,3.571429,1.565238,27.0,16.0,16.0,1.0,1.0,1.0,1.0,0.836629,0.836629,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
112082,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1019,1.10893,47.45,20,Daily,47.45,מתמשך,1130,41.99115,27.0,1.757407,2.389381,38,3.362832,1.248684,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.159115,1.159115,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
112108,AD07_Video_T4,inactive,7-day click or 1-day view,3.0,actions:offsite_conversion.fb_pixel_purchase,2061,1.189714,39.60666667,20,Daily,118.82,מתמשך,2452,48.458401,84.0,1.414524,3.425775,114,4.649266,1.042281,69.0,83.0,83.0,2.0,2.0,1.0,1.0,0.462885,0.462885,3.0,3.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
112114,AD09_Video_T4,inactive,7-day click or 1-day view,1.0,actions:offsite_conversion.fb_pixel_purchase,1845,1.098645,106.71,20,Daily,106.71,מתמשך,2027,52.644302,66.0,1.616818,3.256043,88,4.341391,1.212614,57.0,23.0,23.0,2.0,2.0,1.0,1.0,1.218255,1.218255,1.0,1.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
112139,AD06_IMG_T4_Yellow,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,516,1.118217,8.45,20,Daily,16.9,מתמשך,577,29.289428,14.0,1.207143,2.426343,16,2.772964,1.05625,7.0,10.0,10.0,1.0,1.0,,,,,2.0,2.0,2022-01-05,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
112145,AD09_Video_T4,inactive,7-day click or 1-day view,2.0,actions:offsite_conversion.fb_pixel_purchase,1506,1.123506,27.99,20,Daily,55.98,מתמשך,1692,33.085106,41.0,1.365366,2.423168,57,3.368794,0.982105,36.0,34.0,34.0,3.0,3.0,2.0,2.0,3.251161,3.251161,2.0,2.0,2022-01-13,2024-10-06,CONVERSIONS,0,ABSOLUTE_OCPM,2022-01-11,2022-01-17,2022-01-05
