"Campaign name","Campaign Delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases","Date created","Date last edited",Objective,"Reporting starts","Reporting ends",Starts
"ins venice",completed,"7-day click or 1-day view",298,actions:post_engagement,1292,1.129257,0.06711409,"Using ad set budget",0,20,2022-06-30,1459,13.708019,,,,4,0.27416,5,,,,,,,,,,,,2022-06-22,2022-06-22,Engagement,2021-09-01,2024-10-01,2022-06-22
"ins giveaway",completed,"7-day click or 1-day view",92,actions:link_click,4130,1.159322,1.08695652,"Using ad set budget",0,100,2022-06-28,4788,20.885547,92,1.086957,1.92147,132,2.756892,0.757576,34,,,,,,,,,,,2022-06-22,2022-06-22,Traffic,2021-09-01,2024-10-01,2022-06-22
"july 4th",completed,"7-day click or 1-day view",56,actions:link_click,1921,1.029151,0.53571429,"Using ad set budget",0,30,2022-07-05,1977,15.174507,56,0.535714,2.832575,69,3.490137,0.434783,8,,,,,,,,,,,2022-07-03,2022-07-03,Traffic,2021-09-01,2024-10-01,2022-07-03
"ins fiddler",completed,"7-day click or 1-day view",237,actions:post_engagement,769,1.128739,0.08438819,"Using ad set budget",0,20,2022-10-13,868,23.041475,1,20,0.115207,1,0.115207,20,1,,,,,,,,,,,2022-10-07,2022-10-07,Engagement,2021-09-01,2024-10-01,2022-10-07
"nov sale",completed,"7-day click or 1-day view",51,actions:link_click,933,1.127546,0.78431373,"Using ad set budget",0,40,2022-11-15,1052,38.022814,51,0.784314,4.847909,54,5.13308,0.740741,23,,,,,,,,,,,2022-11-02,2022-11-02,Traffic,2021-09-01,2024-10-01,2022-11-02
"ins mini sale",completed,"7-day click or 1-day view",202,actions:post_engagement,335,1.128358,0.17326733,"Using ad set budget",0,35,2022-12-02,378,92.592593,,,,0,0,0,,,,,,,,,,,,2022-11-23,2022-11-23,Engagement,2021-09-01,2024-10-01,2022-11-23
"ins vday sale 23",completed,"7-day click or 1-day view",735,actions:post_engagement,1528,1.357984,0.10884354,"Using ad set budget",0,80,2023-02-11,2075,38.554217,6,13.333333,0.289157,11,0.53012,7.272727,2,,,,,,,,,,,2023-01-23,2023-01-23,Engagement,2021-09-01,2024-10-01,2023-01-23
"Catalog sales - P2",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-05-16,2020-06-04,"Catalog Sales",2021-09-01,2024-10-01,2020-05-16
"Video Traffic",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-05-16,2020-06-04,Traffic,2021-09-01,2024-10-01,2020-05-16
"Engagement | New Audience",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-06-04,2020-07-14,Engagement,2021-09-01,2024-10-01,2020-06-04
"Catalog | Jean Pierre Catalog",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-06-04,2020-06-25,"Catalog Sales",2021-09-01,2024-10-01,2020-06-04
"Conversion | Remarketing",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-06-04,2020-08-09,CONVERSIONS,2021-09-01,2024-10-01,2020-06-04
"Catalog | Jean Pierre Catalog  -new",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-06-25,2020-07-05,"Catalog Sales",2021-09-01,2024-10-01,2020-06-25
"Catalog - Testing for OR",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-07-02,2020-07-14,"Catalog Sales",2021-09-01,2024-10-01,2020-07-02
"Engagement | Remarketing",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-07-13,2020-07-14,Engagement,2021-09-01,2024-10-01,2020-07-13
"Conversions MINI lal-visitors180",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-07-23,2020-07-26,CONVERSIONS,2021-09-01,2024-10-01,2020-07-23
"Conversions RMK Mini/Gift",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-07-23,2020-07-28,CONVERSIONS,2021-09-01,2024-10-01,2020-07-23
"Conversions COLD MINI Interest-modern_art+narrow CBO",inactive,-,,,0,0,,60,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-08-03,2020-08-05,CONVERSIONS,2021-09-01,2024-10-01,2020-08-03
"Conversions COLD Mini Lookalike",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-01-02,2021-01-19,CONVERSIONS,2021-09-01,2024-10-01,2021-01-02
"Conversions COLD Mini Lookalike+Interest",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-01-02,2021-01-10,CONVERSIONS,2021-09-01,2024-10-01,2021-01-02
"Conversions RMK CBO vid-opening_mini",inactive,-,,,0,0,,200,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-01-06,2021-01-19,CONVERSIONS,2021-09-01,2024-10-01,2021-01-06
"Conversions COLD Mini Lookalike - Testimonials",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-01-11,2021-02-14,CONVERSIONS,2021-09-01,2024-10-01,2021-01-11
"Conversions RMK All 7day-view",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-01-19,2021-01-23,CONVERSIONS,2021-09-01,2024-10-01,2021-01-19
"Conversions RMK All Valentines CBO",inactive,-,,,0,0,,160,Daily,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-01-21,2021-02-14,CONVERSIONS,2021-09-01,2024-10-01,2021-01-21
"Conversions COLD Mini Lookalike - Valentines",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-01-24,2021-02-14,CONVERSIONS,2021-09-01,2024-10-01,2021-01-24
"Conversions RMK All Valentines 7daypv US|UK|CA",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-02-05,2021-02-15,CONVERSIONS,2021-09-01,2024-10-01,2021-02-05
"Conversions COLD Mini General US|UK|CA  - Testimonials Valentines",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-02-08,2021-02-15,CONVERSIONS,2021-09-01,2024-10-01,2021-02-08
"Conversions COLD Mini General US|UK|CA  - Testimonials",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-02-15,2021-04-18,CONVERSIONS,2021-09-01,2024-10-01,2021-02-15
"Conversions RMK All 7daypv US|UK|CA",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-02-15,2021-03-24,CONVERSIONS,2021-09-01,2024-10-01,2021-02-15
"Conversions RMK All 7daypv US|UK|CA vid",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-02-20,2021-05-28,CONVERSIONS,2021-09-01,2024-10-01,2021-02-20
"Conversions COLD Mini LAL US|UK|CA  - Testimonials",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-03-14,2021-03-17,CONVERSIONS,2021-09-01,2024-10-01,2021-03-14
"Conversions COLD Mini General US|UK|CA  - Testimonials DUP",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2021-03-19,2021-04-18,CONVERSIONS,2021-09-01,2024-10-01,2021-03-19
"The studio - ongoing ad",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2018-01-14,2018-03-07,"Video Views",2021-09-01,2024-10-01,2018-01-14
"Catalog sales",inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-05-10,2020-05-22,"Catalog Sales",2021-09-01,2024-10-01,2020-05-10
Conversions,inactive,-,,,0,0,,"Using ad set budget",0,0,מתמשך,0,0,,,,0,0,0,,,,,,,,,,,,2020-05-11,2020-05-11,CONVERSIONS,2021-09-01,2024-10-01,2020-05-11
